
Task 1: C (2000): 9 -> 9 = (-0.0), max 4585, ROI = -100.0%
Task 1: B (1000): 9 -> 9 = (-0.0), max 4585, ROI = -100.0%
Task 1: CC (4000): 9 -> 9 = (-0.0), max 4585, ROI = -100.0%
Task 1: CCC (6000): 9 -> 9 = (-0.0), max 4585, ROI = -100.0%
Task 1: CCCC (8000): 9 -> 9 = (-0.0), max 4585, ROI = -100.0%

Task 2: C (2000): 412 -> 241 = (+4490.4), max 10819, ROI = 124.5%
Task 2: C (2000): 412 -> 289 = (+3229.9), max 10819, ROI = 61.5%
Task 2: CC (4000): 412 -> 200 = (+5567.1), max 10819, ROI = 39.2%
Task 2: CCC (6000): 412 -> 171 = (+6328.6), max 10819, ROI = 5.5%
Task 2: CCCC (8000): 412 -> 158 = (+6670.0), max 10819, ROI = -16.6%
Task 2: B (1000): 412 -> 384 = (+735.3), max 10819, ROI = -26.5%

Task 3: C (2000): 237 -> 157 = (+3363.4), max 9964, ROI = 68.2%
Task 3: CC (4000): 237 -> 120 = (+4918.9), max 9964, ROI = 23.0%
Task 3: CCC (6000): 237 -> 94 = (+6012.0), max 9964, ROI = 0.2%
Task 3: CCCC (8000): 237 -> 85 = (+6390.4), max 9964, ROI = -20.1%
Task 3: B (1000): 237 -> 249 = (--504.5), max 9964, ROI = -150.5%

Task 4: C (2000): 440 -> 309 = (+3281.6), max 11022, ROI = 64.1%
Task 4: CC (4000): 440 -> 252 = (+4709.4), max 11022, ROI = 17.7%
Task 4: CCC (6000): 440 -> 208 = (+5811.6), max 11022, ROI = -3.1%
Task 4: CCCC (8000): 440 -> 194 = (+6162.3), max 11022, ROI = -23.0%
Task 4: B (1000): 440 -> 486 = (--1152.3), max 11022, ROI = -215.2%

Task 5: CC (4000): 209 -> 151 = (+2771.2), max 9986, ROI = -30.7%
Task 5: CCC (6000): 209 -> 126 = (+3965.7), max 9986, ROI = -33.9%
Task 5: C (2000): 209 -> 183 = (+1242.3), max 9986, ROI = -37.9%
Task 5: CCCC (8000): 209 -> 121 = (+4204.6), max 9986, ROI = -47.4%
Task 5: B (1000): 209 -> 223 = (--668.9), max 9986, ROI = -166.9%

Task 6: C (2000): 147 -> 124 = (+1425.2), max 9109, ROI = -28.7%
Task 6: CC (4000): 147 -> 104 = (+2664.5), max 9109, ROI = -33.4%
Task 6: CCC (6000): 147 -> 94 = (+3284.2), max 9109, ROI = -45.3%
Task 6: CCCC (8000): 147 -> 86 = (+3779.9), max 9109, ROI = -52.8%
Task 6: B (1000): 147 -> 163 = (--991.5), max 9109, ROI = -199.1%

Task 7: C (2000): 195 -> 124 = (+3537.6), max 9716, ROI = 76.9%
Task 7: CC (4000): 195 -> 98 = (+4833.1), max 9716, ROI = 20.8%
Task 7: CCC (6000): 195 -> 81 = (+5680.1), max 9716, ROI = -5.3%
Task 7: CCCC (8000): 195 -> 80 = (+5729.9), max 9716, ROI = -28.4%
Task 7: B (1000): 195 -> 203 = (--398.6), max 9716, ROI = -139.9%

Task 8: CC (4000): 180 -> 137 = (+2388.7), max 9999, ROI = -40.3%
Task 8: CCC (6000): 180 -> 127 = (+2944.2), max 9999, ROI = -50.9%
Task 8: C (2000): 180 -> 165 = (+833.2), max 9999, ROI = -58.3%
Task 8: CCCC (8000): 180 -> 126 = (+2999.7), max 9999, ROI = -62.5%
Task 8: B (1000): 180 -> 187 = (--388.9), max 9999, ROI = -138.9%

Task 9: C (2000): 150 -> 112 = (+2320.5), max 9160, ROI = 16.0%
Task 9: CC (4000): 150 -> 77 = (+4457.9), max 9160, ROI = 11.4%
Task 9: CCC (6000): 150 -> 77 = (+4457.9), max 9160, ROI = -25.7%
Task 9: B (1000): 150 -> 140 = (+610.7), max 9160, ROI = -38.9%
Task 9: CCCC (8000): 150 -> 74 = (+4641.1), max 9160, ROI = -42.0%

Task 10: C (2000): 394 -> 255 = (+3803.4), max 10781, ROI = 90.2%
Task 10: CC (4000): 394 -> 185 = (+5718.9), max 10781, ROI = 43.0%
Task 10: CCC (6000): 394 -> 148 = (+6731.3), max 10781, ROI = 12.2%
Task 10: CCCC (8000): 394 -> 142 = (+6895.5), max 10781, ROI = -13.8%
Task 10: B (1000): 394 -> 409 = (--410.4), max 10781, ROI = -141.0%

Task 11: C (2000): 401 -> 249 = (+3682.9), max 9716, ROI = 84.1%
Task 11: CC (4000): 401 -> 196 = (+4967.0), max 9716, ROI = 24.2%
Task 11: CCC (6000): 401 -> 160 = (+5839.3), max 9716, ROI = -2.7%
Task 11: CCCC (8000): 401 -> 145 = (+6202.7), max 9716, ROI = -22.5%
Task 11: B (1000): 401 -> 401 = (-0.0), max 9716, ROI = -100.0%

Task 12: C (2000): 442 -> 278 = (+3605.0), max 9716, ROI = 80.3%
Task 12: CC (4000): 442 -> 222 = (+4836.0), max 9716, ROI = 20.9%
