Task 1: C (2000): 9 -> 9 = (+0.0), max 4585, ROI = 0.0%
Task 2: C (2000): 412 -> 241 = (+4490.4), max 10819, ROI = 224.5%
Task 3: C (2000): 237 -> 157 = (+3363.4), max 9964, ROI = 168.2%
Task 4: C (2000): 440 -> 309 = (+3281.6), max 11022, ROI = 164.1%
Task 5: C (2000): 209 -> 183 = (+1242.3), max 9986, ROI = 62.1%
Task 6: C (2000): 147 -> 124 = (+1425.2), max 9109, ROI = 71.3%
Task 7: C (2000): 195 -> 124 = (+3537.6), max 9716, ROI = 176.9%
Task 8: C (2000): 180 -> 165 = (+833.2), max 9999, ROI = 41.7%
Task 9: C (2000): 150 -> 112 = (+2320.5), max 9160, ROI = 116.0%
Task 10: C (2000): 394 -> 255 = (+3803.4), max 10781, ROI = 190.2%
Task 11: C (2000): 401 -> 249 = (+3682.9), max 9716, ROI = 184.1%
Task 12: C (2000): 442 -> 278 = (+3605.0), max 9716, ROI = 180.3%
Task 13: C (2000): 421 -> 281 = (+3231.0), max 9716, ROI = 161.5%
Task 14: C (2000): 387 -> 235 = (+3816.1), max 9716, ROI = 190.8%
Task 15: C (2000): 373 -> 267 = (+2761.1), max 9716, ROI = 138.1%
Task 16: C (2000): 359 -> 284 = (+2029.8), max 9716, ROI = 101.5%
Task 17: C (2000): 418 -> 236 = (+4230.4), max 9716, ROI = 211.5%
Task 18: C (2000): 399 -> 239 = (+3896.1), max 9716, ROI = 194.8%
Task 19: C (2000): 340 -> 265 = (+2143.2), max 9716, ROI = 107.2%
Task 20: C (2000): 358 -> 279 = (+2144.0), max 9716, ROI = 107.2%
Task 21: C (2000): 1145 -> 756 = (+3814.9), max 11229, ROI = 190.7%
Task 22: C (2000): 630 -> 430 = (+3564.8), max 11229, ROI = 178.2%
Task 23: C (2000): 1001 -> 660 = (+3825.3), max 11229, ROI = 191.3%
Task 24: C (2000): 1010 -> 609 = (+4458.2), max 11229, ROI = 222.9%
Task 25: C (2000): 635 -> 468 = (+2912.4), max 11074, ROI = 145.6%
Task 26: C (2000): 944 -> 679 = (+3152.2), max 11229, ROI = 157.6%
Task 27: C (2000): 1221 -> 763 = (+4212.0), max 11229, ROI = 210.6%
Task 28: C (2000): 1099 -> 702 = (+4056.3), max 11229, ROI = 202.8%
Task 29: C (2000): 882 -> 530 = (+4481.4), max 11229, ROI = 224.1%
Task 30: C (2000): 739 -> 474 = (+3982.9), max 11107, ROI = 199.1%
Task 31: C (2000): 1209 -> 801 = (+3789.4), max 11229, ROI = 189.5%
Task 32: C (2000): 1197 -> 913 = (+2664.2), max 11229, ROI = 133.2%
Task 33: C (2000): 1085 -> 694 = (+4046.6), max 11229, ROI = 202.3%
Task 34: C (2000): 1268 -> 794 = (+4197.6), max 11229, ROI = 209.9%
